Anio,Region,Intensidad_DMSP_0_a_63
1992,Nacional,1.126582044313442
1992,Carabobo,18.54670642136982
1992,Miranda,10.434424861554861
1992,Zulia,3.807618580524889
1993,Nacional,1.3385179932597473
1993,Carabobo,18.702900797450177
1993,Miranda,10.908229571261932
1993,Zulia,4.075011235434925
1994,Nacional,1.3382797562774502
1994,Carabobo,18.332764376273108
1994,Miranda,10.581476697325849
1994,Zulia,3.952116180797305
1994,Nacional,1.225079064654977
1994,Carabobo,18.47955047840585
1994,Miranda,11.0637024323479
1994,Zulia,3.8742600964169513
1995,Nacional,1.5577598918587412
1995,Carabobo,20.57756343938154
1995,Miranda,12.440241413762227
1995,Zulia,4.678629562757031
1996,Nacional,1.4697386283398601
1996,Carabobo,20.5702050173177
1996,Miranda,12.11201426755513
1996,Zulia,4.501098468701839
1997,Nacional,1.465531724577533
1997,Carabobo,20.348806555670482
1997,Miranda,11.796577719652015
1997,Zulia,4.41592624434524
1998,Nacional,1.6836740662447136
1998,Carabobo,21.09414780138924
1998,Miranda,12.731529874035843
1998,Zulia,4.884753633170551
1999,Nacional,1.6271323437056966
1999,Carabobo,21.325865403769395
1999,Miranda,12.594819868089543
1999,Zulia,4.493853958458965
1997,Nacional,1.2356348323762563
1997,Carabobo,17.406042564949434
1997,Miranda,10.13123842002755
1997,Zulia,3.4351092480561336
1998,Nacional,1.3639429131979206
1998,Carabobo,18.04438587979769
1998,Miranda,10.660955856395583
1998,Zulia,3.992548754247594
1999,Nacional,1.3582617794057086
1999,Carabobo,18.176481644508097
1999,Miranda,10.482813206794972
1999,Zulia,3.7798871774711253
2000,Nacional,1.4667228036096707
2000,Carabobo,19.58888662198544
2000,Miranda,11.010784782646619
2000,Zulia,3.78500120727225
2001,Nacional,1.544638803287679
2001,Carabobo,20.404722049080743
2001,Miranda,12.068586546493705
2001,Zulia,3.982479384752319
2002,Nacional,1.4859112483892747
2002,Carabobo,20.030754204124108
2002,Miranda,11.776862292231634
2002,Zulia,3.637832966475707
2003,Nacional,1.3870050001687084
2003,Carabobo,19.621554931532366
2003,Miranda,11.642767497643167
2003,Zulia,3.7400272911914367
2000,Nacional,1.7311522675206
2000,Carabobo,21.69016874329297
2000,Miranda,12.98299598076242
2000,Zulia,4.425937047546892
2001,Nacional,1.7409979745155482
2001,Carabobo,21.706962749243324
2001,Miranda,13.545371120639315
2001,Zulia,4.552296894636253
2002,Nacional,1.7303678667930178
2002,Carabobo,21.48431204657467
2002,Miranda,13.48069016523929
2002,Zulia,4.232858706712454
2003,Nacional,1.2605694378026933
2003,Carabobo,17.663302992526692
2003,Miranda,10.36326874126678
2003,Zulia,3.1201559406474453
2004,Nacional,1.2986227728085236
2004,Carabobo,17.240431079353012
2004,Miranda,10.031971350348378
2004,Zulia,3.2171968698946296
2005,Nacional,1.3147388363504084
2005,Carabobo,17.29098498917239
2005,Miranda,10.275220458514328
2005,Zulia,3.2677055637452925
2006,Nacional,1.374895923257097
2006,Carabobo,18.228268517744997
2006,Miranda,11.076527482538015
2006,Zulia,3.4675514677607477
2007,Nacional,1.2327563458538093
2007,Carabobo,16.6350982515213
2007,Miranda,9.682798352215496
2007,Zulia,2.6826225916146047
2008,Nacional,0.9664861018777858
2008,Carabobo,16.036307760520735
2008,Miranda,8.673395224431664
2008,Zulia,2.218939830848621
2004,Nacional,1.743324401931133
2004,Carabobo,20.66770471208895
2004,Miranda,12.685570610482943
2004,Zulia,4.467284412475742
2005,Nacional,1.473969075431927
2005,Carabobo,18.443346335006176
2005,Miranda,10.810169212452246
2005,Zulia,3.873131730849657
2006,Nacional,1.5769684283016456
2006,Carabobo,19.845899653645684
2006,Miranda,12.383109448273169
2006,Zulia,4.1187210664536344
2007,Nacional,1.6822039782145557
2007,Carabobo,20.090747713997438
2007,Miranda,12.016579858353532
2007,Zulia,3.8065120458065564
2008,Nacional,1.744796239087966
2008,Carabobo,20.919422025305046
2008,Miranda,12.33929022850548
2008,Zulia,3.892004806644435
2009,Nacional,1.6693494766019956
2009,Carabobo,20.525627886430307
2009,Miranda,12.458101773449302
2009,Zulia,3.847877982550002
2010,Nacional,2.1872917312822064
2010,Carabobo,23.781219228143467
2010,Miranda,14.849529065248984
2010,Zulia,4.7354196673214215
2011,Nacional,1.9985980299073924
2011,Carabobo,21.657371993092674
2011,Miranda,13.151790831682705
2011,Zulia,4.213783127316133
2012,Nacional,2.2907943086196285
2012,Carabobo,23.362116937945387
2012,Miranda,13.891093561031957
2012,Zulia,5.281101814345202
2013,Nacional,2.3557335925575766
2013,Carabobo,23.745114733872644
2013,Miranda,13.768222475068232
2013,Zulia,5.195788785396437
