Fecha,Region,Radiancia_VIIRS
2014-01-01,Nacional,1.1079377222245423
2014-01-01,Carabobo,7.609560998997856
2014-01-01,Miranda,2.3490362729692262
2014-01-01,Zulia,1.274922771220217
2014-02-01,Nacional,1.1771138951318993
2014-02-01,Carabobo,7.116032658427558
2014-02-01,Miranda,2.434255545479876
2014-02-01,Zulia,1.3220349270498402
2014-03-01,Nacional,1.3626765537363241
2014-03-01,Carabobo,6.9397309552283915
2014-03-01,Miranda,2.7226998599744436
2014-03-01,Zulia,1.2630961276667516
2014-04-01,Nacional,1.1537251948501372
2014-04-01,Carabobo,6.031510481032214
2014-04-01,Miranda,2.2193716255377587
2014-04-01,Zulia,1.4860487507573146
2014-05-01,Nacional,1.0087708035718237
2014-05-01,Carabobo,5.660440625765907
2014-05-01,Miranda,2.2162283859741487
2014-05-01,Zulia,1.1445265396813453
2014-06-01,Nacional,1.2717302379049038
2014-06-01,Carabobo,5.873326505775771
2014-06-01,Miranda,2.0466690163943753
2014-06-01,Zulia,1.0929229256167698
2014-07-01,Nacional,1.4261540543796765
2014-07-01,Carabobo,5.835344699446248
2014-07-01,Miranda,2.2313844880751157
2014-07-01,Zulia,1.189989354570381
2014-08-01,Nacional,1.447187269363922
2014-08-01,Carabobo,5.700579962114339
2014-08-01,Miranda,2.5291304890124353
2014-08-01,Zulia,1.1068463804136681
2014-09-01,Nacional,1.2190952938694983
2014-09-01,Carabobo,5.579587551650702
2014-09-01,Miranda,2.2157091958806094
2014-09-01,Zulia,0.9829509003266154
2014-10-01,Nacional,1.2095065844128932
2014-10-01,Carabobo,5.29075109132079
2014-10-01,Miranda,2.1866145620484567
2014-10-01,Zulia,0.8899922409052886
2014-11-01,Nacional,0.9630818622212406
2014-11-01,Carabobo,5.679158978958104
2014-11-01,Miranda,1.7631600238662362
2014-11-01,Zulia,0.8483269528082605
2014-12-01,Nacional,1.1524749512546941
2014-12-01,Carabobo,7.186458357728029
2014-12-01,Miranda,2.2933223009090926
2014-12-01,Zulia,1.0432211826797229
2015-01-01,Nacional,1.2725335489913467
2015-01-01,Carabobo,6.0178815627031685
2015-01-01,Miranda,2.310983851846639
2015-01-01,Zulia,1.227298096138889
2015-02-01,Nacional,1.3106075643384905
2015-02-01,Carabobo,6.434031371248806
2015-02-01,Miranda,2.40826898018727
2015-02-01,Zulia,1.173102007071854
2015-03-01,Nacional,1.1437240034994403
2015-03-01,Carabobo,6.380619066802587
2015-03-01,Miranda,2.3533828846187768
2015-03-01,Zulia,1.0328115385477923
2015-04-01,Nacional,1.2231040496078867
2015-04-01,Carabobo,5.032352378118152
2015-04-01,Miranda,1.857267744609549
2015-04-01,Zulia,1.0566418351180982
2015-05-01,Nacional,0.9964729841375093
2015-05-01,Carabobo,4.445215805508679
2015-05-01,Miranda,1.1062051568786686
2015-05-01,Zulia,0.9048275014015392
2015-06-01,Nacional,1.1200652446586965
2015-06-01,Carabobo,4.846823230743815
2015-06-01,Miranda,1.581647728584749
